LA1,0,-31.7866,-3.16658,-19.54895705,Hippocampus_L,Ventral_Attention
LA2,0,-38.0347,-4.88247,-17.42257875,L_Temporal_WM,Ventral_Attention
LA3,0,-42.4954,-7.46513,-14.46727517,L_Temporal_WM,Ventral_Attention
LA4,0,-46.2455,-10.6305,-14.6136824,L_Temporal_WM,Default
LA5,0,-52.3995,-14.3483,-15.37276099,Temporal_Mid_L,Default
LA6,0,-58.1517,-14.9657,-14.17846498,Temporal_Mid_L,Default
LA7,0,-63.1201,-16.3104,-12.57857171,Temporal_Mid_L,Default
LA8,0,-67.437,-17.8057,-11.47432164,Temporal_Mid_L,Default
LA9,0,-71.2687,-18.3436,-9.002822847,Temporal_Mid_L,Default
LA10,0,-75.2669,-19.054,-6.682005173,Temporal_Mid_L,Default
LA11,0,-79.8865,-20.6101,-3.770202853,Temporal_Mid_L,n/a
LA12,0,-84.6793,-21.7736,-1.965250063,n/a,n/a
LB1,0,-35.9422,-12.1823,-15.38084557,Hippocampus_L,Ventral_Attention
LB2,0,-40.2856,-15.7203,-14.06584117,L_Temporal_WM,Ventral_Attention
LB3,0,-44.5766,-18.8392,-14.42394062,L_Temporal_WM,Default
LB4,0,-50.47,-21.1379,-14.78213873,Temporal_Mid_L,Default
LB5,0,-55.7916,-22.812,-14.57210342,Temporal_Mid_L,Default
LB6,0,-60.0375,-26.2944,-14.60807776,Temporal_Mid_L,Default
LB7,0,-63.8304,-30.8299,-13.11181997,Temporal_Mid_L,Default
LB8,0,-67.4793,-34.3576,-9.698666343,Temporal_Mid_L,Default
LB9,0,-71.4926,-36.0848,-8.113111179,Temporal_Mid_L,Default
LB10,0,-75.3749,-37.6381,-7.079243907,Temporal_Mid_L,Default
LB11,0,-79.461,-39.5497,-5.808966827,Temporal_Mid_L,n/a
LB12,0,-84.219,-42.266,-3.512967744,n/a,n/a
LC1,0,-34.7906,-31.1036,-5.97155876,Hippocampus_L,Visual
LC2,0,-38.6004,-35.0035,-4.386854683,L_Temporal_WM,n/a
LC3,0,-41.9599,-37.5907,-4.363032129,L_Temporal_WM,Default
LC4,0,-45.4199,-40.8598,-3.007812922,L_Temporal_WM,Default
LC5,0,-49.0478,-45.2953,-1.178772414,Temporal_Mid_L,Default
LC6,0,-52.7379,-48.3622,-1.719858467,Temporal_Mid_L,Default
LC7,0,-57.7504,-53.395,-0.068982486,Temporal_Mid_L,Frontoparietal
